121594 root      20   0 1713080 139996  19688 S 293.3  0.1  22:58.21 java
121594 root      20   0 1714108 140536  19688 S 395.0  0.1  23:02.16 java
121594 root      20   0 1714108 140536  19688 S 393.0  0.1  23:06.09 java
121594 root      20   0 1714108 140536  19688 S 366.0  0.1  23:09.75 java
121594 root      20   0 1714108 140536  19688 S 400.0  0.1  23:13.75 java
121594 root      20   0 1714108 140536  19688 S 381.2  0.1  23:17.60 java
121594 root      20   0 1714108 140536  19688 S 392.0  0.1  23:21.52 java
121594 root      20   0 1714108 140536  19688 S 391.0  0.1  23:25.43 java
121594 root      20   0 1714108 140536  19688 S 372.0  0.1  23:29.15 java
121594 root      20   0 1714108 140536  19688 S 389.0  0.1  23:33.04 java
121594 root      20   0 1714108 140536  19688 S 385.0  0.1  23:36.89 java
121594 root      20   0 1714108 140536  19688 S 391.1  0.1  23:40.84 java
121594 root      20   0 1714108 140536  19688 S 392.0  0.1  23:44.76 java
121594 root      20   0 1714108 140536  19688 S 393.0  0.1  23:48.69 java
121594 root      20   0 1714108 140536  19688 S 395.0  0.1  23:52.64 java
121594 root      20   0 1714108 140536  19688 S 385.0  0.1  23:56.49 java
121594 root      20   0 1714108 140536  19688 S 395.0  0.1  24:00.44 java
121594 root      20   0 1714108 140536  19688 S 391.0  0.1  24:04.35 java
121594 root      20   0 1714108 140536  19688 S 377.2  0.1  24:08.16 java
121594 root      20   0 1714108 140536  19688 S 393.0  0.1  24:12.09 java
121594 root      20   0 1714108 140536  19688 S 391.0  0.1  24:16.00 java
121594 root      20   0 1714108 140536  19688 S 391.0  0.1  24:19.91 java
121594 root      20   0 1714108 140536  19688 S 385.0  0.1  24:23.76 java
121594 root      20   0 1714108 140536  19688 S 392.0  0.1  24:27.68 java
121594 root      20   0 1714108 140536  19688 S 391.1  0.1  24:31.63 java
121594 root      20   0 1714108 140536  19688 S 400.0  0.1  24:35.63 java
121594 root      20   0 1714108 140536  19688 S 376.0  0.1  24:39.39 java
121594 root      20   0 1714108 140536  19688 S 384.0  0.1  24:43.23 java
121594 root      20   0 1714108 140536  19688 S 396.0  0.1  24:47.19 java
121594 root      20   0 1714108 140536  19688 S 388.0  0.1  24:51.07 java
121594 root      20   0 1714108 140536  19688 S 389.0  0.1  24:54.96 java
121594 root      20   0 1712052 140360  19688 S 387.1  0.1  24:58.87 java
121594 root      20   0 1712052 140360  19688 S 397.0  0.1  25:02.84 java
121594 root      20   0 1712052 140360  19688 S 393.0  0.1  25:06.77 java
121594 root      20   0 1712052 140360  19688 S 381.0  0.1  25:10.58 java
121594 root      20   0 1712052 140360  19688 S 395.0  0.1  25:14.53 java
121594 root      20   0 1712052 140360  19688 S 385.0  0.1  25:18.38 java
121594 root      20   0 1712052 140360  19688 S 388.1  0.1  25:22.30 java
121594 root      20   0 1711024 140272  19688 S 389.0  0.1  25:26.19 java
121594 root      20   0 1711024 140272  19688 S 393.0  0.1  25:30.12 java
121594 root      20   0 1711024 140272  19688 S 385.0  0.1  25:33.97 java
121594 root      20   0 1711024 140272  19688 S 390.0  0.1  25:37.87 java
121594 root      20   0 1711024 140272  19688 S 387.0  0.1  25:41.74 java
121594 root      20   0 1711024 140272  19688 S 385.1  0.1  25:45.63 java
121594 root      20   0 1711024 140272  19688 S 392.0  0.1  25:49.55 java
121594 root      20   0 1711024 140272  19688 S 393.0  0.1  25:53.48 java
121594 root      20   0 1711024 140272  19688 S 393.0  0.1  25:57.41 java
121594 root      20   0 1711024 140272  19688 S 394.0  0.1  26:01.35 java
121594 root      20   0 1711024 140272  19688 S 391.0  0.1  26:05.26 java
121594 root      20   0 1711024 140272  19688 S 390.1  0.1  26:09.20 java
121594 root      20   0 1711024 140272  19688 S 383.0  0.1  26:13.03 java
121594 root      20   0 1711024 140280  19688 S 396.0  0.1  26:16.99 java
121594 root      20   0 1711024 140280  19688 S 391.0  0.1  26:20.90 java
121594 root      20   0 1711024 140280  19688 S 395.0  0.1  26:24.85 java
121594 root      20   0 1711024 140280  19688 S 386.0  0.1  26:28.71 java
121594 root      20   0 17
